L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
E,E8,1,2018,1,1,2,na,1747,2018,2018,2018,9.233333333
E,E8,1,2018,2,1,2,na,1748,2018,2018,2018,9.15
E,E8,1,2018,1,1,2,na,1749,2018,2018,2018,10.9
E,E8,1,2018,2,1,1,na,1750,2018,2018,2018,10.43333333
E,E8,1,2018,3,1,4,na,1751,2018,2018,2018,9.4
E,E8,1,2018,4,1,4,na,1752,2018,2018,2018,8.166666667
E,E8,1,2018,1,1,1,na,1753,2018,2018,2018,10.53333333
E,E8,1,2018,2,1,1,na,1754,2018,2018,2018,7.8
E,E8,1,2018,1,1,1,na,1755,2018,2018,2018,11.4
E,E8,1,2018,2,1,2,na,1756,2018,2018,2018,10.16666667
E,E8,1,2018,2,1,2,na,1757,2018,2018,2018,10.7
E,E8,1,2018,2,1,2,na,1758,2018,2018,2018,8.433333333
E,E8,1,2018,2,1,2,na,1759,2018,2018,2018,12.06666667
E,E8,1,2018,1,1,2,na,1760,2018,2018,2018,11.5
E,E8,1,2018,2,1,2,na,1761,2018,2018,2018,13.73333333
E,E8,1,2018,2,1,2,na,1762,2018,2018,2018,11.85
E,E8,1,2018,3,1,3,na,1763,2018,2018,2018,10.46666667
E,E8,1,2018,4,1,4,na,1764,2018,2018,2018,10.3
E,E8,1,2018,5,1,3,na,1765,2018,2018,2018,10.76666667
E,E8,1,2018,1,1,1,na,1766,2018,2018,2018,13.9
E,E8,1,2018,1,1,2,na,1767,2018,2018,2018,8.6
E,E8,1,2018,2,1,2,na,1768,2018,2018,2018,7.366666667
E,E8,1,2018,1,1,2,na,1769,2018,2018,2018,7.4
E,E8,1,2018,1,1,1,na,1770,2018,2018,2018,14
E,E8,1,2018,2,1,1,na,1771,2018,2018,2018,10.26666667
E,E8,1,2018,2,1,1,na,1772,2018,2018,2018,11.16666667
E,E8,1,2018,2,1,2,na,1773,2018,2018,2018,10.73333333
E,E8,1,2018,1,1,1,na,1774,2018,2018,2018,9.4
E,E8,1,2018,2,1,1,na,1775,2018,2018,2018,8.966666667
E,E8,1,2018,2,1,1,na,1776,2018,2018,2018,6.133333333
E,E8,1,2018,3,1,4,na,1777,2018,2018,2018,7.6
E,E8,1,2018,4,1,3,na,1778,2018,2018,2018,8.066666667
E,E8,1,2018,5,1,3,na,1779,2018,2018,2018,8.866666667
E,E8,1,2018,1,1,2,na,1780,2018,2018,2018,5.3
E,E8,1,2018,2,1,1,na,1781,2018,2018,2018,7.85
E,E8,1,2018,2,1,2,na,1782,2018,2018,2018,7.966666667
E,E8,1,2018,1,1,1,na,1783,2018,2018,2018,13.5
E,E8,1,2018,2,1,1,na,1784,2018,2018,2018,11.76666667
E,E8,1,2018,1,1,2,na,1785,2018,2018,2018,11.93333333
E,E8,1,2018,2,1,1,na,1786,2018,2018,2018,12.25
E,E8,1,2018,1,1,2,na,1787,2018,2018,2018,13.15
E,E8,1,2018,2,1,1,na,1788,2018,2018,2018,10.16666667
E,E8,1,2018,3,1,3,na,1789,2018,2018,2018,15.15
E,E8,1,2018,4,1,3,na,1790,2018,2018,2018,13.33333333
E,E8,1,2018,1,1,1,na,1791,2018,2018,2018,11.5
E,E8,1,2018,2,1,2,na,1792,2018,2018,2018,9.2
E,E8,1,2018,2,1,1,na,1793,2018,2018,2018,8.4
E,E8,1,2018,2,1,2,na,1794,2018,2018,2018,6.7
E,E8,1,2018,2,1,1,na,1795,2018,2018,2018,8.766666667
E,E8,1,2018,1,1,1,na,1796,2018,2018,2018,7.9
E,E8,1,2018,2,1,1,na,1797,2018,2018,2018,10.66666667
E,E8,1,2018,2,1,1,na,1798,2018,2018,2018,11.03333333
E,E8,1,2018,1,1,1,na,1799,2018,2018,2018,8.666666667
E,E8,1,2018,2,1,2,na,1800,2018,2018,2018,8.8
E,E8,1,2018,2,1,2,na,1801,2018,2018,2018,9.4
E,E8,1,2018,1,1,1,na,1802,2018,2018,2018,10.26666667
E,E8,1,2018,5,1,4,na,1803,2018,2018,2018,7.166666667
E,E8,1,2018,2,1,1,na,1804,2018,2018,2018,8.033333333
E,E8,1,2018,2,1,1,na,1805,2018,2018,2018,9.866666667
E,E8,1,2018,2,1,2,na,1806,2018,2018,2018,9.25
E,E8,1,2018,1,1,2,na,1807,2018,2018,2018,14.05
E,E8,1,2018,2,1,1,na,1808,2018,2018,2018,10.16666667
E,E8,1,2018,1,1,1,na,1809,2018,2018,2018,8.7
E,E8,1,2018,2,1,1,na,1810,2018,2018,2018,10.05
E,E8,1,2018,2,1,1,na,1811,2018,2018,2018,10.33333333
E,E8,1,2018,2,1,2,na,1812,2018,2018,2018,10.93333333
E,E8,1,2018,2,1,1,na,1813,2018,2018,2018,10.7
E,E8,1,2018,2,1,2,na,1814,2018,2018,2018,10.3
E,E8,1,2018,1,1,1,na,1815,2018,2018,2018,9.466666667
E,E8,1,2018,1,1,1,na,1816,2018,2018,2018,10.93333333
E,E8,1,2018,2,1,2,na,1817,2018,2018,2018,12.36666667
E,E8,1,2018,1,1,2,na,1818,2018,2018,2018,8.7
E,E8,1,2018,2,1,2,na,1819,2018,2018,2018,8.233333333
E,E8,1,2018,2,1,2,na,1820,2018,2018,2018,10.53333333
E,E8,1,2018,2,1,2,na,1821,2018,2018,2018,10.5
E,E8,1,2018,2,1,2,na,1822,2018,2018,2018,11.3
E,E8,1,2018,3,1,4,na,1823,2018,2018,2018,13.7
E,E8,1,2018,4,1,4,na,1824,2018,2018,2018,12.03333333
E,E8,1,2018,5,1,4,na,1825,2018,2018,2018,8.766666667
E,E8,1,2018,2,1,1,na,1826,2018,2018,2018,13.43333333
E,E8,1,2018,1,1,2,na,1827,2018,2018,2018,7.333333333
E,E8,1,2018,2,1,2,na,1828,2018,2018,2018,8.4
E,E8,1,2018,1,1,2,na,1829,2018,2018,2018,15.85
E,E8,1,2018,2,1,2,na,1830,2018,2018,2018,8.766666667
E,E8,1,2018,1,1,1,na,1831,2018,2018,2018,7.2
E,E8,1,2018,2,1,2,na,1832,2018,2018,2018,7.7
E,E8,1,2018,2,1,2,na,1833,2018,2018,2018,10.66666667
E,E8,1,2018,1,1,2,na,1834,2018,2018,2018,10
E,E8,1,2018,2,1,2,na,1835,2018,2018,2018,9.4
E,E8,1,2018,2,1,1,na,1836,2018,2018,2018,9.666666667
E,E8,1,2018,1,1,2,na,1837,2018,2018,2018,7.7
E,E8,1,2018,2,1,2,na,1838,2018,2018,2018,10.43333333
E,E8,1,2018,2,1,2,na,1839,2018,2018,2018,7.466666667
E,E8,1,2018,1,1,2,na,1840,2018,2018,2018,9.5
E,E8,1,2018,2,1,1,na,1841,2018,2018,2018,12.06666667
E,E8,1,2018,3,1,3,na,1842,2018,2018,2018,7.066666667
E,E8,1,2018,4,1,4,na,1843,2018,2018,2018,8.966666667
E,E8,1,2018,2,1,1,na,1844,2018,2018,2018,11.4
E,E8,1,2018,2,1,2,na,1845,2018,2018,2018,10.95
E,E8,1,2018,2,1,1,na,1846,2018,2018,2018,10.2
E,E8,1,2018,1,1,1,na,1847,2018,2018,2018,9.6
E,E8,1,2018,2,1,2,na,1848,2018,2018,2018,8
E,E8,1,2018,2,1,1,na,1849,2018,2018,2018,8.666666667
E,E8,1,2018,2,1,2,na,1850,2018,2018,2018,13.13333333
E,E8,1,2018,2,1,2,na,1851,2018,2018,2018,8.966666667
E,E8,1,2018,2,1,2,na,1852,2018,2018,2018,16.6
E,E8,1,2018,1,1,1,na,1853,2018,2018,2018,9.2
E,E8,1,2018,2,1,2,na,1854,2018,2018,2018,8.333333333
E,E8,1,2018,3,1,4,na,1855,2018,2018,2018,11
E,E8,1,2018,5,1,4,na,1856,2018,2018,2018,8.233333333
E,E8,1,2018,1,1,1,na,1857,2018,2018,2018,7.7
E,E8,1,2018,2,1,1,na,1858,2018,2018,2018,9.666666667
E,E8,1,2018,1,1,1,na,1859,2018,2018,2018,8.15
E,E8,1,2018,2,1,1,na,1860,2018,2018,2018,11.6
E,E8,1,2018,1,1,2,na,1861,2018,2018,2018,9.6
E,E8,1,2018,2,1,1,na,1862,2018,2018,2018,11.9
E,E8,1,2018,2,1,1,na,1863,2018,2018,2018,8.8
E,E8,1,2018,2,1,2,na,1864,2018,2018,2018,13.4
E,E8,1,2018,1,1,1,na,1865,2018,2018,2018,10.86666667
E,E8,1,2018,2,1,1,na,1866,2018,2018,2018,10.3
E,E8,1,2018,1,1,2,na,1867,2018,2018,2018,9.5
E,E8,1,2018,1,1,1,na,1868,2018,2018,2018,8.8
E,E8,1,2018,2,1,1,na,1869,2018,2018,2018,9.966666667
E,E8,1,2018,2,1,1,na,1870,2018,2018,2018,9.5
E,E8,1,2018,1,1,2,na,1871,2018,2018,2018,8.7
E,E8,1,2018,2,1,1,na,1872,2018,2018,2018,7.5
E,E8,1,2018,1,1,2,na,1873,2018,2018,2018,7
E,E8,1,2018,2,1,1,na,1874,2018,2018,2018,11.26666667
E,E8,1,2018,2,1,1,na,1875,2018,2018,2018,10
E,E8,1,2018,2,1,2,na,1876,2018,2018,2018,10.3
E,E8,1,2018,1,1,1,na,1877,2018,2018,2018,9.966666667
E,E8,1,2018,2,1,1,na,1878,2018,2018,2018,8.633333333
E,E8,1,2018,2,1,1,na,1879,2018,2018,2018,10.43333333
E,E8,1,2018,1,1,2,na,1880,2018,2018,2018,9.4
E,E8,1,2018,2,1,2,na,1881,2018,2018,2018,11.6
E,E8,1,2018,1,1,2,na,1882,2018,2018,2018,7.32
E,E8,1,2018,2,1,2,na,1883,2018,2018,2018,7.433333333
E,E8,1,2018,2,1,1,na,1884,2018,2018,2018,9.933333333
E,E8,1,2018,1,1,1,na,1885,2018,2018,2018,7.7
E,E8,1,2018,2,1,2,na,1886,2018,2018,2018,9.05
E,E8,1,2018,2,1,2,na,1887,2018,2018,2018,11.56666667
E,E8,1,2018,2,1,1,na,1888,2018,2018,2018,10.5
E,E8,1,2018,2,1,2,na,1889,2018,2018,2018,9.6
E,E8,1,2018,2,1,2,na,1890,2018,2018,2018,10.7
E,E8,1,2018,1,1,2,na,1891,2018,2018,2018,9.2
E,E8,1,2018,2,1,1,na,1892,2018,2018,2018,10.75
E,E8,1,2018,1,1,1,na,1893,2018,2018,2018,10.2
E,E8,1,2018,2,1,1,na,1894,2018,2018,2018,11.06666667
E,E8,1,2018,2,1,1,na,1895,2018,2018,2018,7.25
E,E8,1,2018,1,1,2,na,1896,2018,2018,2018,9.75
E,E8,1,2018,2,1,2,na,1897,2018,2018,2018,8.7
E,E8,1,2018,1,1,2,na,1898,2018,2018,2018,7.366666667
E,E8,1,2018,2,1,1,na,1899,2018,2018,2018,9.933333333
E,E8,1,2018,1,1,2,na,1900,2018,2018,2018,9.7
E,E8,1,2018,2,1,2,na,1901,2018,2018,2018,9.533333333
E,E8,1,2018,1,1,2,na,1902,2018,2018,2018,9.966666667
E,E8,1,2018,2,1,2,na,1903,2018,2018,2018,7.3371
E,E8,1,2018,1,1,2,na,1904,2018,2018,2018,8.7
E,E8,1,2018,2,1,1,na,1905,2018,2018,2018,11.1
E,E8,1,2018,2,1,1,na,1906,2018,2018,2018,8.6
E,E8,1,2018,2,1,1,na,1907,2018,2018,2018,8.4
E,E8,1,2018,2,1,2,na,1908,2018,2018,2018,11.2
E,E8,1,2018,1,1,2,na,1909,2018,2018,2018,10.35
E,E8,1,2018,1,1,2,na,1910,2018,2018,2018,9.1
E,E8,1,2018,2,1,1,na,1911,2018,2018,2018,8.266666667
E,E8,1,2018,1,1,2,na,1912,2018,2018,2018,6.2
E,E8,1,2018,2,1,1,na,1913,2018,2018,2018,8.733333333
E,E8,1,2018,3,1,4,na,1914,2018,2018,2018,8
E,E8,1,2018,5,1,3,na,1915,2018,2018,2018,9.933333333
E,E8,1,2018,2,1,2,na,1916,2018,2018,2018,10.2
E,E8,1,2018,1,1,1,na,1917,2018,2018,2018,11.73333333
E,E8,1,2018,2,1,2,na,1918,2018,2018,2018,7.45
E,E8,1,2018,3,1,3,na,1919,2018,2018,2018,12.86666667
E,E8,1,2018,4,1,4,na,1920,2018,2018,2018,10.3
E,E8,1,2018,5,1,4,na,1921,2018,2018,2018,8.7
E,E8,1,2018,2,1,1,na,1922,2018,2018,2018,13.33333333
E,E8,1,2018,2,1,2,na,1923,2018,2018,2018,12.2
E,E8,1,2018,2,1,2,na,1924,2018,2018,2018,11.86666667
E,E8,1,2018,2,1,1,na,1925,2018,2018,2018,7.25
E,E8,1,2018,1,1,2,na,1926,2018,2018,2018,7.533333333
E,E8,1,2018,2,1,1,na,1927,2018,2018,2018,10.7
E,E8,1,2018,2,1,1,na,1928,2018,2018,2018,6.9
E,E8,1,2018,2,1,2,na,1929,2018,2018,2018,10.63333333
E,E8,1,2018,1,1,2,na,1930,2018,2018,2018,7.7
E,E8,1,2018,2,1,2,na,1931,2018,2018,2018,11.1
E,E8,1,2018,2,1,2,na,1932,2018,2018,2018,9.1
E,E8,1,2018,1,1,2,na,1933,2018,2018,2018,10.5
E,E8,1,2018,2,1,2,na,1934,2018,2018,2018,8.166666667
E,E8,1,2018,1,1,1,na,1935,2018,2018,2018,9.966666667
E,E8,1,2018,2,1,1,na,1936,2018,2018,2018,6.566666667
E,E8,1,2018,1,1,1,na,1937,2018,2018,2018,8.566666667
E,E8,1,2018,1,1,1,na,1938,2018,2018,2018,7.733333333
E,E8,1,2018,2,1,1,na,1939,2018,2018,2018,9.033333333
E,E8,1,2018,1,1,1,na,1940,2018,2018,2018,11.8
E,E8,1,2018,2,1,2,na,1941,2018,2018,2018,10.9
E,E8,1,2018,2,1,2,na,1942,2018,2018,2018,6.166666667
E,E8,1,2018,1,1,2,na,1943,2018,2018,2018,6.25
E,E8,1,2018,2,1,2,na,1944,2018,2018,2018,10.43333333
E,E8,1,2018,2,1,1,na,1945,2018,2018,2018,11.05
E,E8,1,2018,1,1,2,na,1946,2018,2018,2018,8.4
E,E8,1,2018,2,1,1,na,1947,2018,2018,2018,10.3
E,E8,1,2018,1,1,1,na,1948,2018,2018,2018,10.5
E,E8,1,2018,2,1,2,na,1949,2018,2018,2018,10.7
E,E8,1,2018,3,1,3,na,1950,2018,2018,2018,7.2
E,E8,1,2018,1,1,1,na,1951,2018,2018,2018,7.733333333
E,E8,1,2018,2,1,2,na,1952,2018,2018,2018,9.7
E,E8,1,2018,1,1,2,na,1953,2018,2018,2018,8
E,E8,1,2018,2,1,1,na,1954,2018,2018,2018,9.966666667
E,E8,1,2018,1,1,1,na,1955,2018,2018,2018,7.933333333
E,E8,1,2018,1,1,1,na,1956,2018,2018,2018,8.833333333
E,E8,1,2018,1,1,2,na,1957,2018,2018,2018,9
E,E8,1,2018,2,1,1,na,1958,2018,2018,2018,6.166666667
E,E8,1,2018,2,1,2,na,1959,2018,2018,2018,7.9
E,E8,1,2018,2,1,2,na,1960,2018,2018,2018,8.4
E,E8,1,2018,1,1,1,na,1961,2018,2018,2018,8.233333333
E,E8,1,2018,2,1,2,na,1962,2018,2018,2018,11.13333333
E,E8,1,2018,2,1,2,na,1963,2018,2018,2018,8.666666667
E,E8,1,2018,5,1,4,na,1964,2018,2018,2018,8.266666667
E,E8,1,2018,2,1,2,na,1965,2018,2018,2018,11.4
E,E8,1,2018,2,1,1,na,1966,2018,2018,2018,8.9
E,E8,1,2018,1,1,2,na,1967,2018,2018,2018,9.5
E,E8,1,2018,2,1,2,na,1968,2018,2018,2018,11.5
E,E8,1,2018,1,1,2,na,1969,2018,2018,2018,8.5
E,E8,1,2018,2,1,2,na,1970,2018,2018,2018,8.6
E,E8,1,2018,1,1,2,na,1971,2018,2018,2018,9.833333333
E,E8,1,2018,1,1,1,na,1972,2018,2018,2018,8.9
E,E8,1,2018,2,1,2,na,1973,2018,2018,2018,8.733333333
E,E8,1,2018,1,1,1,na,1974,2018,2018,2018,9.433333333
E,E8,1,2018,2,1,2,na,1975,2018,2018,2018,10.8
E,E8,1,2018,3,1,4,na,1976,2018,2018,2018,9.9
E,E8,1,2018,4,1,3,na,1977,2018,2018,2018,8.3
E,E8,1,2018,5,1,4,na,1978,2018,2018,2018,9.666666667
M,M4,3,2014,1,1,1,na,1979,2014,2014,2014,9.9
M,M4,3,2014,1,1,1,na,1980,2014,2014,2014,8.4
M,M4,3,2014,1,1,1,na,1981,2014,2014,2014,12.3
M,M4,3,2014,1,1,1,na,1982,2014,2014,2014,6.1
M,M4,3,2014,1,1,1,na,1983,2014,2014,2014,11.15
M,M4,3,2014,1,1,1,na,1984,2014,2014,2014,12.55
M,M4,3,2014,1,1,1,na,1985,2014,2014,2014,9.75
M,M4,3,2014,1,1,1,na,1986,2014,2014,2014,10.65
M,M4,3,2014,1,1,1,na,1987,2014,2014,2014,12.3
M,M4,3,2014,1,1,1,na,1988,2014,2014,2014,12
M,M4,3,2014,1,1,1,na,1989,2014,2014,2014,11.75
M,M4,3,2014,1,1,1,na,1990,2014,2014,2014,14.35
M,M4,3,2014,1,1,1,na,1991,2014,2014,2014,11.15
M,M4,3,2014,1,1,1,na,1992,2014,2014,2014,11.25
M,M4,3,2014,1,1,1,na,1993,2014,2014,2014,14.3
M,M4,3,2014,1,1,1,na,1994,2014,2014,2014,7.45
M,M4,3,2014,1,1,1,na,1995,2014,2014,2014,11.05
M,M4,3,2014,1,1,1,na,1996,2014,2014,2014,11.2
M,M4,3,2014,1,1,1,na,1997,2014,2014,2014,11.2
M,M4,3,2014,1,1,1,na,1998,2014,2014,2014,7.15
M,M4,3,2014,1,1,1,na,1999,2014,2014,2014,8.2
M,M4,3,2014,1,1,1,na,2000,2014,2014,2014,5.95
M,M4,3,2014,1,1,1,na,2001,2014,2014,2014,9
M,M4,3,2014,1,1,1,na,2002,2014,2014,2014,12.45
M,M4,3,2014,1,1,1,na,2003,2014,2014,2014,13.75
M,M4,3,2014,1,1,1,na,2004,2014,2014,2014,12.35
M,M4,3,2014,1,1,1,na,2005,2014,2014,2014,11.3
M,M4,3,2014,1,1,1,na,2006,2014,2014,2014,11.7
M,M4,3,2014,1,1,1,na,2007,2014,2014,2014,15.75
M,M4,3,2014,1,1,1,na,2008,2014,2014,2014,9
M,M4,3,2014,1,1,1,na,2009,2014,2014,2014,16.9
M,M4,3,2014,1,1,1,na,2010,2014,2014,2014,15
M,M4,3,2014,1,1,1,na,2011,2014,2014,2014,9.4
M,M4,3,2014,1,1,1,na,2012,2014,2014,2014,11.1
M,M4,3,2014,1,1,1,na,2013,2014,2014,2014,13
M,M4,3,2014,1,1,1,na,2014,2014,2014,2014,10.4
M,M4,3,2014,1,1,1,na,2015,2014,2014,2014,12.55
M,M4,3,2014,1,1,1,na,2016,2014,2014,2014,7.65
M,M4,3,2014,1,1,1,na,2017,2014,2014,2014,6.7
M,M4,3,2014,1,1,1,na,2018,2014,2014,2014,5.65
M,M4,3,2014,1,1,1,na,2019,2014,2014,2014,10.2
M,M4,3,2014,1,1,1,na,2020,2014,2014,2014,11.7
M,M4,3,2014,1,1,1,na,2021,2014,2014,2014,7.7
M,M4,3,2014,1,1,1,na,2022,2014,2014,2014,14.05
M,M4,3,2014,1,1,1,na,2023,2014,2014,2014,8.7
M,M4,3,2014,1,1,1,na,2024,2014,2014,2014,15.1
M,M4,3,2014,1,1,1,na,2025,2014,2014,2014,4.5
M,M4,3,2014,1,1,1,na,2026,2014,2014,2014,13.15
M,M4,3,2014,1,1,1,na,2027,2014,2014,2014,12.2
M,M4,3,2014,1,1,1,na,2028,2014,2014,2014,9.8
M,M4,3,2014,1,1,1,na,2029,2014,2014,2014,8.75
M,M4,3,2014,1,1,1,na,2030,2014,2014,2014,11.55
M,M4,3,2014,1,1,1,na,2031,2014,2014,2014,9
M,M4,3,2014,1,1,1,na,2032,2014,2014,2014,6.5
M,M4,3,2014,1,1,1,na,2033,2014,2014,2014,7.75
M,M4,3,2014,1,1,1,na,2034,2014,2014,2014,7.95
M,M4,3,2014,1,1,1,na,2035,2014,2014,2014,12.2
M,M4,3,2014,1,1,1,na,2036,2014,2014,2014,13.1
M,M4,3,2014,1,1,1,na,2037,2014,2014,2014,8.65
M,M4,3,2014,1,1,1,na,2038,2014,2014,2014,13.1
M,M4,3,2014,1,1,1,na,2039,2014,2014,2014,8.1
M,M4,3,2014,1,1,1,na,2040,2014,2014,2014,9.9
M,M4,3,2014,1,1,1,na,2041,2014,2014,2014,9.2
M,M4,3,2014,1,1,1,na,2042,2014,2014,2014,7.25
M,M4,3,2014,1,1,1,na,2043,2014,2014,2014,10.9
M,M4,3,2014,1,1,1,na,2044,2014,2014,2014,9.7
M,M4,3,2014,1,1,1,na,2045,2014,2014,2014,11.1
M,M4,3,2014,1,1,1,na,2046,2014,2014,2014,12.95
M,M4,3,2014,1,1,1,na,2047,2014,2014,2014,5.95
M,M4,3,2014,1,1,1,na,2048,2014,2014,2014,17.5
M,M4,3,2014,1,1,1,na,2049,2014,2014,2014,12.35
M,M4,3,2014,1,1,1,na,2050,2014,2014,2014,9.8
M,M4,3,2014,1,1,1,na,2051,2014,2014,2014,7.8
M,M4,3,2014,1,1,1,na,2052,2014,2014,2014,6.15
M,M4,3,2014,1,1,1,na,2053,2014,2014,2014,13.85
M,M4,3,2014,1,1,1,na,2054,2014,2014,2014,11.3
M,M4,3,2014,1,1,1,na,2055,2014,2014,2014,10.4
M,M4,3,2014,1,1,1,na,2056,2014,2014,2014,9.85
M,M4,3,2014,1,1,1,na,2057,2014,2014,2014,7.5
M,M4,3,2014,1,1,1,na,2058,2014,2014,2014,10.75
M,M4,3,2014,1,1,1,na,2059,2014,2014,2014,12.3
M,M4,3,2014,1,1,1,na,2060,2014,2014,2014,8.7
M,M4,3,2014,1,1,1,na,2061,2014,2014,2014,8.4
M,M4,3,2014,1,1,1,na,2062,2014,2014,2014,13.1
M,M4,3,2014,1,1,1,na,2063,2014,2014,2014,13.45
M,M4,3,2014,1,1,1,na,2064,2014,2014,2014,14.9
M,M4,3,2014,1,1,1,na,2065,2014,2014,2014,10.8
M,M4,3,2014,1,1,1,na,2066,2014,2014,2014,7.15
M,M4,3,2014,1,1,1,na,2067,2014,2014,2014,6.1
M,M4,3,2014,1,1,1,na,2068,2014,2014,2014,10.75
M,M4,3,2014,1,1,1,na,2069,2014,2014,2014,9.15
M,M4,3,2014,1,1,1,na,2070,2014,2014,2014,7.25
M,M4,3,2014,1,1,1,na,2071,2014,2014,2014,8.65
M,M4,3,2014,1,1,1,na,2072,2014,2014,2014,5.1
M,M4,3,2014,1,1,1,na,2073,2014,2014,2014,9.55
M,M4,3,2014,1,1,1,na,2074,2014,2014,2014,8.4
M,M4,3,2014,1,1,1,na,2075,2014,2014,2014,11.85
M,M4,3,2014,1,1,1,na,2076,2014,2014,2014,7.6
M,M4,3,2014,1,1,1,na,2077,2014,2014,2014,11.65
M,M4,3,2014,1,1,1,na,2078,2014,2014,2014,12.35
M,M4,3,2014,1,1,1,na,2079,2014,2014,2014,8.5
M,M4,3,2014,1,1,1,na,2080,2014,2014,2014,9.25
M,M4,3,2014,1,1,1,na,2081,2014,2014,2014,11.95
M,M4,3,2014,1,1,1,na,2082,2014,2014,2014,5.6
M,M4,3,2014,1,1,1,na,2083,2014,2014,2014,8.9
M,M4,3,2014,1,1,1,na,2084,2014,2014,2014,12.75
M,M4,3,2014,1,1,1,na,2085,2014,2014,2014,8.5
M,M4,3,2014,1,1,1,na,2086,2014,2014,2014,6.2
M,M4,3,2014,1,1,1,na,2087,2014,2014,2014,11.95
M,M4,3,2014,1,1,1,na,2088,2014,2014,2014,11.4
M,M4,3,2014,1,1,1,na,2089,2014,2014,2014,10.3
M,M4,3,2014,1,1,1,na,2090,2014,2014,2014,6.05
M,M4,3,2014,1,1,1,na,2091,2014,2014,2014,10.2
M,M4,3,2014,1,1,1,na,2092,2014,2014,2014,10.85
M,M4,3,2014,1,1,1,na,2093,2014,2014,2014,8.35
M,M4,3,2014,1,1,1,na,2094,2014,2014,2014,13.35
M,M4,3,2014,1,1,1,na,2095,2014,2014,2014,8.15
M,M4,3,2014,1,1,1,na,2096,2014,2014,2014,10.4
M,M4,3,2014,1,1,1,na,2097,2014,2014,2014,15.45
M,M4,3,2014,1,1,1,na,2098,2014,2014,2014,10.8
M,M4,3,2014,1,1,1,na,2099,2014,2014,2014,9.75
M,M4,3,2014,1,1,1,na,2100,2014,2014,2014,10.75
M,M4,3,2014,1,1,1,na,2101,2014,2014,2014,10.3
M,M4,3,2014,1,1,1,na,2102,2014,2014,2014,10.5
M,M4,3,2014,1,1,1,na,2103,2014,2014,2014,8.95
M,M4,3,2014,1,1,1,na,2104,2014,2014,2014,4.8
M,M4,3,2014,1,1,1,na,2105,2014,2014,2014,11.25
M,M4,3,2014,1,1,1,na,2106,2014,2014,2014,11.1
M,M4,3,2014,1,1,1,na,2107,2014,2014,2014,15.9
M,M4,3,2014,1,1,1,na,2108,2014,2014,2014,12.6
M,M4,3,2014,1,1,1,na,2109,2014,2014,2014,7.65
M,M4,3,2014,1,1,1,na,2110,2014,2014,2014,14.35
M,M4,3,2014,1,1,1,na,2111,2014,2014,2014,11.1
M,M4,3,2014,1,1,1,na,2112,2014,2014,2014,9.35
M,M4,3,2014,1,1,1,na,2113,2014,2014,2014,7.95
M,M4,3,2014,1,1,1,na,2114,2014,2014,2014,12
M,M4,3,2014,1,1,1,na,2115,2014,2014,2014,14.1
M,M4,3,2014,1,1,1,na,2116,2014,2014,2014,8.85
M,M4,3,2014,1,1,1,na,2117,2014,2014,2014,12.4
M,M4,3,2014,1,1,1,na,2118,2014,2014,2014,5
M,M4,3,2014,1,1,1,na,2119,2014,2014,2014,10.5
M,M4,3,2014,1,1,1,na,2120,2014,2014,2014,10.9
M,M4,3,2014,1,1,1,na,2121,2014,2014,2014,7
M,M4,3,2014,1,1,1,na,2122,2014,2014,2014,17.9
M,M4,3,2014,1,1,1,na,2123,2014,2014,2014,11.3
M,M4,3,2014,1,1,1,na,2124,2014,2014,2014,6.8
M,M4,3,2014,1,1,1,na,2125,2014,2014,2014,6.9
M,M4,3,2014,1,1,1,na,2126,2014,2014,2014,7.35
M,M4,3,2014,1,1,1,na,2127,2014,2014,2014,13.1
M,M4,3,2014,1,1,1,na,2128,2014,2014,2014,11.05
M,M4,3,2014,1,1,1,na,2129,2014,2014,2014,8.4
M,M4,3,2014,1,1,1,na,2130,2014,2014,2014,6.7
M,M4,3,2014,1,1,1,na,2131,2014,2014,2014,14.3
M,M4,3,2014,1,1,1,na,2132,2014,2014,2014,9.8
M,M4,3,2014,1,1,1,na,2133,2014,2014,2014,4.5
M,M4,3,2014,1,1,1,na,2134,2014,2014,2014,13.23
M,M4,3,2014,1,1,1,na,2135,2014,2014,2014,7.7
M,M4,3,2014,1,1,1,na,2136,2014,2014,2014,9.25
M,M4,3,2014,1,1,1,na,2137,2014,2014,2014,13.5
M,M4,3,2014,1,1,1,na,2138,2014,2014,2014,7.15
M,M4,3,2014,1,1,1,na,2139,2014,2014,2014,10.5
M,M4,3,2014,1,1,1,na,2140,2014,2014,2014,9.15
M,M4,3,2014,1,1,1,na,2141,2014,2014,2014,10.45
M,M4,3,2014,1,1,1,na,2142,2014,2014,2014,11.1
M,M4,3,2014,1,1,1,na,2143,2014,2014,2014,6.2
M,M4,3,2014,1,1,1,na,2144,2014,2014,2014,10.4
M,M4,3,2014,1,1,1,na,2145,2014,2014,2014,12.05
M,M4,3,2014,1,1,1,na,2146,2014,2014,2014,6.85
M,M4,3,2014,1,1,1,na,2147,2014,2014,2014,13.9
M,M4,3,2014,1,1,1,na,2148,2014,2014,2014,13.7
M,M4,3,2014,1,1,1,na,2149,2014,2014,2014,11.75
M,M4,3,2014,1,1,1,na,2150,2014,2014,2014,8.6
M,M4,3,2014,1,1,1,na,2151,2014,2014,2014,11.05
