L,T,S,PY,B,D,X,SP,P,Y,HDate,H,SSC
B,B1,0,2011,1,1,1,na,86,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,87,2011,2011,2011,8.7
B,B1,0,2011,1,1,1,na,88,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,89,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,90,2011,2011,2011,10.1
B,B1,0,2011,1,1,1,na,91,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,92,2011,2011,2011,11.5
B,B1,0,2011,1,1,1,na,93,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,94,2011,2011,2011,9.6
B,B1,0,2011,1,1,1,na,95,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,96,2011,2011,2011,7
B,B1,0,2011,1,1,1,na,97,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,98,2011,2011,2011,12.4
B,B1,0,2011,1,1,1,na,99,2011,2011,2011,11.1
B,B1,0,2011,1,1,1,na,100,2011,2011,2011,8.1
B,B1,0,2011,1,1,1,na,101,2011,2011,2011,11.1
B,B1,0,2011,1,1,1,na,102,2011,2011,2011,11.3
B,B1,0,2011,1,1,1,na,103,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,104,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,105,2011,2011,2011,10.5
B,B1,0,2011,1,1,1,na,106,2011,2011,2011,9.5
B,B1,0,2011,1,1,1,na,107,2011,2011,2011,9.4
B,B1,0,2011,1,1,1,na,108,2011,2011,2011,10.7
B,B1,0,2011,1,1,1,na,109,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,110,2011,2011,2011,8.9
B,B1,0,2011,1,1,1,na,111,2011,2011,2011,9.2
B,B1,0,2011,1,1,1,na,112,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,113,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,114,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,115,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,116,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,117,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,118,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,119,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,120,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,121,2011,2011,2011,10.6
B,B1,0,2011,1,1,1,na,122,2011,2011,2011,15.6
B,B1,0,2011,1,1,1,na,123,2011,2011,2011,9.3
B,B1,0,2011,1,1,1,na,124,2011,2011,2011,10.4
B,B1,0,2011,1,1,1,na,125,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,126,2011,2011,2011,15
B,B1,0,2011,1,1,1,na,127,2011,2011,2011,10.8
B,B1,0,2011,1,1,1,na,128,2011,2011,2011,10.2
B,B1,0,2011,1,1,1,na,129,2011,2011,2011,15.3
B,B1,0,2011,1,1,1,na,130,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,131,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,132,2011,2011,2011,14.2
B,B1,0,2011,1,1,1,na,133,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,134,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,135,2011,2011,2011,13.8
B,B1,0,2011,1,1,1,na,136,2011,2011,2011,NA
B,B1,0,2011,1,1,1,na,137,2011,2011,2011,14.6
B,B1,0,2011,1,1,1,na,138,2011,2011,2011,13.4
B,B1,0,2011,1,1,1,na,139,2011,2011,2011,18.7
